rank,image,error_score,false_positives,false_negatives,wrong_class,ground_truth_count,prediction_count,output
1,old__phone__DJI_20260826132514_0194_D_007_jpg.rf.qWuOvihE9MwuE3nVSnWZ.jpg,7,1,3,0,4,2,results\error_examples\01_old__phone__DJI_20260826132514_0194_D_007_jpg.rf.qWuOvihE9MwuE3nVSnWZ.jpg
2,old__phone__DJI_20260826132451_0191_D_006_jpg.rf.5V2Wpw30ZE6J9gcY3tfY.jpg,6,2,2,0,5,5,results\error_examples\02_old__phone__DJI_20260826132451_0191_D_006_jpg.rf.5V2Wpw30ZE6J9gcY3tfY.jpg
3,old__phone__DJI_20260826132455_0192_D_003_jpg.rf.g6WXIoxfvYbG2czbk3If.jpg,6,2,2,0,5,5,results\error_examples\03_old__phone__DJI_20260826132455_0192_D_003_jpg.rf.g6WXIoxfvYbG2czbk3If.jpg
4,old__phone__DJI_20260826132514_0194_D_002_jpg.rf.sCOXSNJpJRmO4SxhkDGK.jpg,6,2,2,0,4,4,results\error_examples\04_old__phone__DJI_20260826132514_0194_D_002_jpg.rf.sCOXSNJpJRmO4SxhkDGK.jpg
5,old__phone__DJI_20260826132455_0192_D_004_jpg.rf.rkUKJlPdUS8cs4yzzb0v.jpg,5,3,1,0,4,6,results\error_examples\05_old__phone__DJI_20260826132455_0192_D_004_jpg.rf.rkUKJlPdUS8cs4yzzb0v.jpg
6,old__phone__DJI_20260826132514_0194_D_004_jpg.rf.95uKK7kOEoVwo8VZHEZz.jpg,5,1,2,0,5,4,results\error_examples\06_old__phone__DJI_20260826132514_0194_D_004_jpg.rf.95uKK7kOEoVwo8VZHEZz.jpg
7,old__phone__DJI_20260826132514_0194_D_008_jpg.rf.tKjS40odxDaDRVVkTK1f.jpg,5,3,1,0,4,6,results\error_examples\07_old__phone__DJI_20260826132514_0194_D_008_jpg.rf.tKjS40odxDaDRVVkTK1f.jpg
8,old__phone__DJI_20260826132514_0194_D_009_jpg.rf.LAuaVexDB0RrjK581KIK.jpg,5,1,2,0,4,3,results\error_examples\08_old__phone__DJI_20260826132514_0194_D_009_jpg.rf.LAuaVexDB0RrjK581KIK.jpg
9,nongfu__DJI_20260828143200_0240_D_002_jpg.rf.Bc1BxqNDuoJQnvFufx8w.jpg,4,0,2,0,4,2,results\error_examples\09_nongfu__DJI_20260828143200_0240_D_002_jpg.rf.Bc1BxqNDuoJQnvFufx8w.jpg
10,old__phone__DJI_20260826132451_0191_D_005_jpg.rf.DvZdGlfwMd3ErtVSq9Vw.jpg,4,2,1,0,4,5,results\error_examples\10_old__phone__DJI_20260826132451_0191_D_005_jpg.rf.DvZdGlfwMd3ErtVSq9Vw.jpg
11,old__phone__DJI_20260826132529_0196_D_002_jpg.rf.pwOqUB3yWTIrupcufDw2.jpg,4,4,0,0,4,8,results\error_examples\11_old__phone__DJI_20260826132529_0196_D_002_jpg.rf.pwOqUB3yWTIrupcufDw2.jpg
12,old__phone__DJI_20260826132529_0196_D_005_jpg.rf.wFoUxLVKwzbmWItoO62c.jpg,4,4,0,0,4,8,results\error_examples\12_old__phone__DJI_20260826132529_0196_D_005_jpg.rf.wFoUxLVKwzbmWItoO62c.jpg
