epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2009,1.27343,4.06047,0.01154,0,0,0,0,1.91354,4.77028,0.02379,0.000321429,0.000321429,0.0681786
2,29.1776,1.17384,2.0615,0.01071,0.21123,0.38303,0.26788,0.13738,1.42674,3.87441,0.01507,0.000654602,0.000654602,0.0351784
3,35.4761,1.17332,1.66414,0.01077,0.1934,0.69726,0.46049,0.34129,1.0816,2.78146,0.01086,0.00098713,0.00098713,0.00217761
4,41.8877,1.1604,1.43828,0.01044,0.75115,0.42062,0.59292,0.44325,1.06348,1.91989,0.01014,0.000997803,0.000997803,0.000997803
5,48.1252,1.13811,1.25855,0.01054,0.63991,0.61353,0.73333,0.52583,1.20189,1.46823,0.01259,0.000996097,0.000996097,0.000996097
6,54.3961,1.10156,1.29728,0.01013,0.67458,0.69474,0.72986,0.5077,1.20267,1.25493,0.0125,0.000993906,0.000993906,0.000993906
7,60.6587,1.15786,1.14465,0.01032,0.6471,0.7444,0.76407,0.50946,1.1362,1.12917,0.01099,0.000991232,0.000991232,0.000991232
8,66.8962,1.09618,1.00043,0.00968,0.75379,0.68252,0.76801,0.51021,1.35614,1.08658,0.014,0.000988079,0.000988079,0.000988079
9,73.1753,1.12086,1.02103,0.00986,0.76003,0.72444,0.74647,0.53296,1.21664,1.06205,0.01355,0.000984449,0.000984449,0.000984449
10,79.482,1.12029,0.99047,0.00964,0.78219,0.72693,0.7456,0.50911,1.34984,1.04117,0.01461,0.000980345,0.000980345,0.000980345
11,85.6963,1.07771,0.89846,0.00932,0.69115,0.78386,0.75456,0.55034,1.14359,1.0205,0.01228,0.000975773,0.000975773,0.000975773
12,91.8921,1.06864,0.90908,0.00965,0.74486,0.76161,0.80995,0.53443,1.29778,0.98816,0.01442,0.000970736,0.000970736,0.000970736
13,98.2188,1.07684,0.84194,0.00953,0.76823,0.71714,0.78062,0.54623,1.28603,0.90157,0.01393,0.000965239,0.000965239,0.000965239
14,104.599,1.05073,0.8529,0.00962,0.80747,0.76945,0.78049,0.54403,1.18656,1.04261,0.01212,0.000959289,0.000959289,0.000959289
15,111.072,1.0523,0.84409,0.00913,0.77973,0.7681,0.77071,0.57726,1.08203,0.95885,0.01122,0.000952889,0.000952889,0.000952889
16,117.359,1.04626,0.89496,0.01002,0.75855,0.70601,0.75428,0.54922,1.1186,0.94166,0.01181,0.000946048,0.000946048,0.000946048
17,123.085,1.03093,0.81391,0.00871,0.73613,0.78598,0.79197,0.55039,1.16824,0.96497,0.01208,0.000938772,0.000938772,0.000938772
18,128.971,1.04969,0.85037,0.00938,0.77444,0.76671,0.78695,0.58547,0.99758,0.84755,0.01002,0.000931067,0.000931067,0.000931067
19,134.547,1.00252,0.74338,0.00873,0.84648,0.75453,0.81736,0.58297,1.1218,0.9007,0.01142,0.000922942,0.000922942,0.000922942
20,140.034,0.98607,0.77769,0.00871,0.79088,0.70054,0.77217,0.57785,0.97679,0.88503,0.0096,0.000914405,0.000914405,0.000914405
21,145.988,1.00696,0.72946,0.00844,0.71792,0.63921,0.74291,0.52747,1.11661,1.19407,0.01101,0.000905463,0.000905463,0.000905463
22,151.959,1.00379,0.79856,0.00856,0.80172,0.71142,0.80989,0.57023,1.14451,0.93272,0.0112,0.000896127,0.000896127,0.000896127
23,157.993,0.95704,0.71441,0.00861,0.77704,0.78484,0.8063,0.6314,0.90977,0.83781,0.00885,0.000886404,0.000886404,0.000886404
24,163.554,1.01292,0.75781,0.00882,0.73765,0.7899,0.81078,0.57332,1.15311,0.88316,0.01219,0.000876305,0.000876305,0.000876305
25,168.972,1.01828,0.7893,0.00888,0.81472,0.77327,0.82216,0.60277,1.1032,0.75145,0.01064,0.000865839,0.000865839,0.000865839
26,174.423,0.96997,0.72642,0.00817,0.79959,0.73472,0.81754,0.62462,0.9806,0.85799,0.00954,0.000855018,0.000855018,0.000855018
27,179.922,0.99908,0.73259,0.00893,0.82823,0.74261,0.80284,0.60071,1.03471,0.84296,0.01045,0.000843851,0.000843851,0.000843851
28,185.49,0.97431,0.68159,0.00881,0.81451,0.68389,0.80497,0.59547,1.00985,0.87862,0.00967,0.000832349,0.000832349,0.000832349
29,191.435,0.97084,0.6814,0.00837,0.84181,0.78782,0.83496,0.60206,1.09065,0.79674,0.01091,0.000820525,0.000820525,0.000820525
30,197.057,0.93396,0.66785,0.00797,0.78456,0.81357,0.83998,0.6314,0.97126,0.78335,0.00947,0.000808389,0.000808389,0.000808389
31,202.597,0.93615,0.69178,0.00795,0.79388,0.84708,0.84467,0.63252,0.97371,0.68754,0.00964,0.000795954,0.000795954,0.000795954
32,208.318,0.92286,0.66796,0.00795,0.8492,0.73249,0.82557,0.61411,1.03541,0.80998,0.00999,0.000783231,0.000783231,0.000783231
33,214.048,0.92195,0.65774,0.00793,0.76464,0.79204,0.80218,0.61481,0.97991,0.82481,0.00956,0.000770234,0.000770234,0.000770234
34,219.887,0.88724,0.62947,0.00778,0.79825,0.7721,0.82317,0.62568,0.97827,0.77624,0.00952,0.000756976,0.000756976,0.000756976
35,225.976,0.92749,0.67913,0.00809,0.7531,0.79768,0.8225,0.58552,1.12918,0.91776,0.01129,0.000743468,0.000743468,0.000743468
36,231.933,0.93243,0.65948,0.00782,0.82609,0.76941,0.83674,0.60269,1.10774,0.85579,0.01119,0.000729725,0.000729725,0.000729725
37,237.961,0.86879,0.63715,0.00766,0.80242,0.80107,0.83602,0.6426,0.90016,0.81896,0.00835,0.000715761,0.000715761,0.000715761
38,244.047,0.91087,0.68568,0.00807,0.77111,0.81505,0.85059,0.65326,0.91083,0.77865,0.00863,0.000701588,0.000701588,0.000701588
39,249.827,0.88551,0.61088,0.00762,0.77749,0.83989,0.83249,0.64837,0.94474,0.80709,0.00932,0.000687222,0.000687222,0.000687222
40,255.593,0.87265,0.61015,0.00745,0.79255,0.85562,0.86349,0.64994,0.97892,0.78083,0.00924,0.000672675,0.000672675,0.000672675
41,261.364,0.88554,0.59597,0.00749,0.78258,0.81256,0.8184,0.61593,1.04421,0.80886,0.01026,0.000657963,0.000657963,0.000657963
42,266.923,0.83104,0.58005,0.00733,0.82453,0.76746,0.83409,0.65195,0.88676,0.84483,0.00851,0.000643101,0.000643101,0.000643101
43,272.414,0.88299,0.59359,0.00766,0.77982,0.81347,0.84348,0.65753,0.85613,0.81368,0.00848,0.000628101,0.000628101,0.000628101
44,277.94,0.872,0.59305,0.00748,0.85564,0.75188,0.82929,0.65853,0.86843,0.80434,0.00822,0.000612981,0.000612981,0.000612981
45,283.573,0.85852,0.58057,0.00745,0.84283,0.7483,0.83137,0.63633,0.88036,0.8265,0.00816,0.000597754,0.000597754,0.000597754
46,289.256,0.82276,0.57084,0.00704,0.84715,0.7455,0.84562,0.6156,1.05717,0.84078,0.01008,0.000582435,0.000582435,0.000582435
47,295.069,0.85389,0.58577,0.00708,0.86292,0.79322,0.86347,0.62144,1.0381,0.77068,0.01,0.00056704,0.00056704,0.00056704
48,300.596,0.86675,0.57346,0.0071,0.80796,0.7823,0.83937,0.66487,0.85032,0.80429,0.00823,0.000551584,0.000551584,0.000551584
49,306.665,0.81886,0.54804,0.00682,0.84241,0.81643,0.85818,0.67203,0.93331,0.72017,0.00932,0.000536081,0.000536081,0.000536081
50,312.252,0.84846,0.54207,0.00728,0.87556,0.82771,0.86904,0.67063,0.94208,0.6019,0.00898,0.000520548,0.000520548,0.000520548
51,317.746,0.81726,0.50745,0.00702,0.84292,0.86257,0.86045,0.66858,0.90287,0.70373,0.00835,0.000505,0.000505,0.000505
52,323.502,0.80915,0.52069,0.00666,0.81964,0.86373,0.8707,0.68301,0.87372,0.72923,0.00831,0.000489452,0.000489452,0.000489452
53,329.127,0.84697,0.60339,0.00746,0.84125,0.8241,0.84964,0.67602,0.82814,0.72141,0.00773,0.000473919,0.000473919,0.000473919
54,334.736,0.82834,0.5353,0.00696,0.83152,0.78913,0.83972,0.67172,0.85826,0.71103,0.00795,0.000458416,0.000458416,0.000458416
55,340.737,0.77854,0.5241,0.00642,0.78134,0.81149,0.82948,0.64526,0.87896,0.78088,0.00806,0.00044296,0.00044296,0.00044296
56,346.94,0.7948,0.53342,0.00731,0.82271,0.8239,0.83268,0.63508,0.90609,0.79273,0.0086,0.000427565,0.000427565,0.000427565
57,352.561,0.79753,0.53478,0.00666,0.8657,0.78184,0.83507,0.63946,0.94242,0.79469,0.00902,0.000412246,0.000412246,0.000412246
58,358.132,0.77871,0.53892,0.00635,0.81406,0.79063,0.83075,0.64594,0.92963,0.82383,0.00889,0.000397019,0.000397019,0.000397019
59,364.131,0.81159,0.53369,0.00636,0.84352,0.80235,0.85223,0.67828,0.85692,0.76379,0.00807,0.000381899,0.000381899,0.000381899
60,370.09,0.77344,0.49637,0.00639,0.83576,0.80056,0.85653,0.68336,0.82779,0.70114,0.00778,0.000366899,0.000366899,0.000366899
61,375.762,0.77295,0.50444,0.00664,0.81626,0.87169,0.87231,0.67201,0.91531,0.66678,0.00861,0.000352037,0.000352037,0.000352037
62,381.344,0.79537,0.5343,0.0067,0.8645,0.8279,0.87728,0.6866,0.84872,0.67227,0.00786,0.000337325,0.000337325,0.000337325
63,386.851,0.77444,0.50672,0.00643,0.87041,0.82913,0.87896,0.68038,0.87168,0.70105,0.00827,0.000322778,0.000322778,0.000322778
64,392.417,0.78966,0.52186,0.00631,0.83531,0.84171,0.8709,0.68053,0.87581,0.68137,0.00866,0.000308412,0.000308412,0.000308412
65,397.954,0.76864,0.49307,0.00627,0.83437,0.86266,0.88424,0.68369,0.85613,0.69544,0.00824,0.000294239,0.000294239,0.000294239
66,403.511,0.75123,0.51001,0.00622,0.85761,0.82528,0.87925,0.68623,0.8386,0.71266,0.00807,0.000280275,0.000280275,0.000280275
67,409.088,0.75648,0.48423,0.00631,0.86862,0.81328,0.88344,0.6873,0.88079,0.62109,0.00854,0.000266532,0.000266532,0.000266532
68,414.665,0.76158,0.50982,0.00648,0.84148,0.85865,0.87844,0.67271,0.92203,0.63878,0.00893,0.000253024,0.000253024,0.000253024
69,420.161,0.76648,0.49313,0.0062,0.86192,0.83139,0.87389,0.6879,0.84774,0.6617,0.00811,0.000239766,0.000239766,0.000239766
70,425.766,0.74921,0.484,0.00616,0.86308,0.83914,0.86484,0.68297,0.83397,0.68303,0.00805,0.000226769,0.000226769,0.000226769
71,431.295,0.72419,0.46986,0.00573,0.86257,0.82282,0.85969,0.68993,0.8189,0.61681,0.0079,0.000214046,0.000214046,0.000214046
72,436.87,0.74365,0.47274,0.00612,0.86153,0.83683,0.87633,0.66861,0.93066,0.60594,0.00883,0.000201611,0.000201611,0.000201611
73,442.424,0.72778,0.45799,0.00615,0.86333,0.84386,0.88269,0.6934,0.85614,0.59826,0.00819,0.000189475,0.000189475,0.000189475
74,448.012,0.7299,0.50282,0.00597,0.85696,0.85667,0.87603,0.69114,0.84655,0.59265,0.00821,0.000177651,0.000177651,0.000177651
75,453.591,0.73764,0.47481,0.00609,0.86407,0.85228,0.87737,0.68578,0.86267,0.62402,0.00832,0.000166149,0.000166149,0.000166149
76,459.17,0.71064,0.49521,0.00597,0.85953,0.85363,0.87732,0.68797,0.8543,0.60971,0.00825,0.000154982,0.000154982,0.000154982
77,464.813,0.71442,0.44727,0.00646,0.85897,0.85031,0.87515,0.67867,0.87718,0.62228,0.00837,0.000144161,0.000144161,0.000144161
78,470.464,0.73072,0.45137,0.00646,0.84798,0.84636,0.8752,0.68592,0.8666,0.61609,0.00832,0.000133695,0.000133695,0.000133695
79,477.256,0.70586,0.47022,0.0057,0.85169,0.85309,0.8793,0.69211,0.83845,0.59849,0.00809,0.000123596,0.000123596,0.000123596
80,484.309,0.74031,0.50824,0.00611,0.84793,0.86008,0.88064,0.68761,0.86379,0.5951,0.00833,0.000113873,0.000113873,0.000113873
81,491.019,0.70672,0.49036,0.0056,0.85905,0.84758,0.87943,0.67845,0.9001,0.59855,0.00864,0.000104537,0.000104537,0.000104537
82,497.516,0.6959,0.46953,0.00569,0.8579,0.85645,0.87704,0.68381,0.87076,0.59897,0.00834,9.55951e-05,9.55951e-05,9.55951e-05
